cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
callans,1.1786773892632593e-5,72.77245106805009,1.6196752644226162e-7,8
innkeepers,3.199267199428846e-5,71.82735430093256,4.454106977162194e-7,22
INCIDENT,1.0102949050827937e-5,71.28729900543684,1.417215856369789e-7,7
ledy,1.0102949050827937e-5,71.28729900543684,1.417215856369789e-7,7
pbar,1.0102949050827937e-5,71.28729900543684,1.417215856369789e-7,7
precognition,1.0102949050827937e-5,71.28729900543684,1.417215856369789e-7,7
Prentices,1.0102949050827937e-5,71.28729900543684,1.417215856369789e-7,7
steaks,2.8625022310679154e-5,70.69323818039152,4.04918816105654e-7,20
plainness,1.3638981218617714e-4,69.44999748467815,1.963856258112422e-6,97
concos,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
daws,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
DIALOGUE,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
genteelity,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
handsomeness,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
marmitons,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
roman,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
sallad,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
Sinners,8.41912420902328e-6,69.30709625528581,1.214756448316962e-7,6
respondent,1.5154423576241904e-5,68.04696723246242,2.227053488581097e-7,11
awls,6.735299367218625e-6,66.53481240507438,1.012297040264135e-7,5
by't,6.735299367218625e-6,66.53481240507438,1.012297040264135e-7,5
catarrhs,6.735299367218625e-6,66.53481240507438,1.012297040264135e-7,5
irresponsibility,6.735299367218625e-6,66.53481240507438,1.012297040264135e-7,5
jock,6.735299367218625e-6,66.53481240507438,1.012297040264135e-7,5
lunches,1.347059873443725e-5,66.53481240507438,2.02459408052827e-7,10
pinery,1.347059873443725e-5,66.53481240507438,2.02459408052827e-7,10
snuffbox,1.347059873443725e-5,66.53481240507438,2.02459408052827e-7,10
truffle,1.347059873443725e-5,66.53481240507438,2.02459408052827e-7,10
wi'a,1.347059873443725e-5,66.53481240507438,2.02459408052827e-7,10
spinners,3.872797136150709e-5,65.961236436065107,5.871322833531983e-7,29
diners,1.1786773892632593e-5,64.68662317160009,1.822134672475443e-7,9
fluids,1.1786773892632593e-5,64.68662317160009,1.822134672475443e-7,9
pawkie,1.1786773892632593e-5,64.68662317160009,1.822134672475443e-7,9
hostlers,3.367649683609312e-5,63.975781158725354,5.263944609373502e-7,26
beginnings,7.745594272301418e-5,62.71724120150453,1.2350023891222448e-6,61
spinner,1.5154423576241904e-5,62.37638662975723,2.429512896633924e-7,12
mouton,1.0102949050827937e-5,62.37638662975722,1.6196752644226162e-7,8
obesity,1.0102949050827937e-5,62.37638662975722,1.6196752644226162e-7,8
sederunt,2.0205898101655873e-5,62.37638662975722,3.2393505288452323e-7,16
sublimities,1.0102949050827937e-5,62.37638662975722,1.6196752644226162e-7,8
sinner,4.950445034905689e-4,62.05975522554526,7.976900677281385e-6,394
dinner,0.01062830240147099,61.781766491236525,1.7202975902248712e-4,8497
innovator,1.347059873443725e-5,60.48619309552216,2.227053488581097e-7,11
inn,0.0024600680938766024,60.482429643985604,4.067409507781294e-5,2009
innovation,8.08235924066235e-5,59.583414094096455,1.3564780339539409e-6,67
causey,2.525737262706984e-5,59.406082504530694,4.251647569109367e-7,21
dinners,7.408829303940487e-4,59.406082504530694,1.2471499536054143e-5,616
fau't,8.41912420902328e-6,59.406082504530694,1.417215856369789e-7,7
Finches,8.41912420902328e-6,59.406082504530694,1.417215856369789e-7,7
jasper,8.41912420902328e-6,59.406082504530694,1.417215856369789e-7,7
laburnums,1.683824841804656e-5,59.406082504530694,2.834431712739578e-7,14
Tranquillity,8.41912420902328e-6,59.406082504530694,1.417215856369789e-7,7
tsiaa,8.41912420902328e-6,59.406082504530694,1.417215856369789e-7,7
commonality,2.0205898101655873e-5,58.7071874162421,3.441809936898059e-7,17
Bouncers,1.1786773892632593e-5,58.21796085444008,2.02459408052827e-7,10
hillsides,1.1786773892632593e-5,58.21796085444008,2.02459408052827e-7,10
anarchists,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
anoof,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
concubines,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
dearys,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
délices,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
rusks,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
toilers,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
tributes,1.347059873443725e-5,55.44567700422865,2.429512896633924e-7,12
typography,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
viciousness,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
weddin,6.735299367218625e-6,55.44567700422865,1.214756448316962e-7,6
