cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
agitating,0,0,3.3608261736769284e-6,166
agitation,0,0,3.7454990489772996e-5,1850
agitations,0,0,9.718051586535696e-7,48
Agnes,0,0,2.524668818418753e-5,1247
agonies,0,0,6.397717294469333e-6,316
agony,0,0,4.1706638058882365e-5,2060
agr,0,0,9.535838119288151e-6,471
agreeableness,0,0,3.036891120792405e-7,15
agreement,0,0,6.924111755406683e-6,342
agriculture,0,0,1.3159861523433754e-6,65
agriculturist,0,0,6.07378224158481e-7,30
ague,0,0,1.822134672475443e-6,90
agvgr,0,0,7.4909980979546e-7,37
ah,0,0,1.3200353405044321e-5,652
Ah,0,0,1.4783585976017427e-4,7302
ahead,0,0,9.475100296872304e-6,468
ahem,0,0,1.1135267442905484e-6,55
aiblins,0,0,3.644269344950886e-7,18
aid,0,0,4.393369154746346e-5,2170
aide,0,0,2.7129560679078818e-6,134
aids,0,0,9.920510994588523e-7,49
ailing,0,0,2.368775074218076e-6,117
ailment,0,0,1.2754942707328102e-6,63
ailments,0,0,1.5589374420067679e-6,77
ails,0,0,1.8423806132807258e-6,91
aim,0,0,1.4192404504503173e-5,701
Aimée,0,0,1.49819961959092e-6,74
aims,0,0,2.571234482270903e-6,127
ain,0,0,1.1641415963037553e-5,575
air,0,0,2.3556152126946421e-4,11635
Air,0,0,7.895916914060253e-7,39
airiness,0,0,2.02459408052827e-7,10
airing,0,0,2.8951695351554263e-6,143
airings,0,0,1.417215856369789e-7,7
airs,0,0,1.3220599345849603e-5,653
airy,0,0,8.726000487076844e-6,431
aisle,0,0,3.644269344950886e-6,180
aisles,0,0,1.4374617971750718e-6,71
ait,0,0,2.834431712739578e-7,14
ajar,0,0,3.2191045880399494e-6,159
ajee,0,0,1.417215856369789e-7,7
akimbo,0,0,8.09837632211308e-7,40
akin,0,0,4.940009556488979e-6,244
al,0,0,1.761396850059595e-6,87
alabaster,0,0,1.0527889218747005e-6,52
alacrity,0,0,7.895916914060254e-6,390
alane,0,0,4.454106977162194e-7,22
alarm,0,0,4.674787731939776e-5,2309
alarmed,0,0,4.118024359794501e-5,2034
