cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
chibouque,2.6359073847581292e-5,81.37147743926869,3.2393505288452323e-7,16
powdery,2.6359073847581292e-5,81.37147743926869,3.2393505288452323e-7,16
vegetables,2.3723166462823162e-4,81.37147743926869,2.915415475960709e-6,144
benchers,2.108725907806503e-5,80.11960855558763,2.631972304686751e-7,13
flavours,2.108725907806503e-5,80.11960855558763,2.631972304686751e-7,13
grec,2.108725907806503e-5,80.11960855558763,2.631972304686751e-7,13
hawthorns,2.108725907806503e-5,80.11960855558763,2.631972304686751e-7,13
mantilla,2.108725907806503e-5,80.11960855558763,2.631972304686751e-7,13
trench,6.853359200371135e-5,78.72217352264134,8.705754546271561e-7,43
broughams,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
crême,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
dictatorship,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
earliness,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
gimlets,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
Groups,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
intrusions,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
loiterer,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
outbuildings,3.163088861709755e-5,78.11661834169794,4.04918816105654e-7,20
pinery,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
raspberries,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
Seats,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
tablecloths,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
trespassers,1.5815444308548774e-5,78.11661834169794,2.02459408052827e-7,10
alcove,6.853359200371135e-5,76.93303321530858,8.908213954324388e-7,44
crocus,2.6359073847581292e-5,76.58491994284113,3.441809936898059e-7,17
larches,2.6359073847581292e-5,76.58491994284113,3.441809936898059e-7,17
minarets,2.6359073847581292e-5,76.58491994284113,3.441809936898059e-7,17
apricot,3.6902703386613806e-5,75.94671227665079,4.859025793267848e-7,24
bowers,1.0016448062080891e-4,74.96039133799299,1.3362320931486582e-6,66
airings,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
Basse,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
bassoons,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
Bridges,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
drips,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
fanes,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
freeholder,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
lambkin,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
lettuces,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
mechanician,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
paletôt,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
plat,5.2718147695162584e-5,74.39677937304566,7.086079281848945e-7,35
quadrangles,2.108725907806503e-5,74.39677937304566,2.834431712739578e-7,14
tamarinds,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
taties,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
Tradition,2.108725907806503e-5,74.39677937304566,2.834431712739578e-7,14
Tryanite,2.108725907806503e-5,74.39677937304566,2.834431712739578e-7,14
workbasket,1.0543629539032516e-5,74.39677937304566,1.417215856369789e-7,7
cedar,1.5288262831597148e-4,72.60839525350129,2.105577843749401e-6,104
plants,6.009868837248535e-4,72.40076821913469,8.300835730165907e-6,410
outhouse,7.907722154274387e-5,72.33020216823883,1.093280803485266e-6,54
beans,1.2125173969887394e-4,71.29691356583542,1.7006590276437467e-6,84
bodyguard,1.5815444308548774e-5,71.01510758336177,2.227053488581097e-7,11
cabbage,1.5815444308548774e-4,71.01510758336177,2.227053488581097e-6,110
dreaminess,1.5815444308548774e-5,71.01510758336177,2.227053488581097e-7,11
fivepence,1.5815444308548774e-5,71.01510758336177,2.227053488581097e-7,11
oldsters,1.5815444308548774e-5,71.01510758336177,2.227053488581097e-7,11
