cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
halldoor,5.256794406770751e-5,432.7447213022832,1.214756448316962e-7,6
simplicities,5.256794406770751e-5,432.7447213022832,1.214756448316962e-7,6
tythe,5.256794406770751e-5,432.7447213022832,1.214756448316962e-7,6
juxtaposition,1.5770383220312253e-4,432.74472130228315,3.644269344950886e-7,18
Lammles,1.5770383220312253e-4,409.9686833390051,3.846728753003713e-7,19
effeminacy,2.1027177627083005e-4,399.4566658174922,5.263944609373502e-7,26
pimple,1.5770383220312253e-4,389.4702491720549,4.04918816105654e-7,20
bedchambers,5.256794406770751e-5,370.9240468305285,1.417215856369789e-7,7
Cromer,1.0513588813541503e-4,370.9240468305285,2.834431712739578e-7,14
footstools,5.256794406770751e-5,370.9240468305285,1.417215856369789e-7,7
heritor,5.256794406770751e-5,370.9240468305285,1.417215856369789e-7,7
ketchup,5.256794406770751e-5,370.9240468305285,1.417215856369789e-7,7
mechanician,5.256794406770751e-5,370.9240468305285,1.417215856369789e-7,7
rosemary,1.5770383220312253e-4,370.9240468305285,4.251647569109367e-7,21
shimmer,1.0513588813541503e-4,370.9240468305285,2.834431712739578e-7,14
ghastliness,1.5770383220312253e-4,354.0638628836862,4.454106977162194e-7,22
peppermint,1.5770383220312253e-4,354.0638628836862,4.454106977162194e-7,22
perfumer,1.0513588813541503e-4,346.19577704182655,3.036891120792405e-7,15
clecking,5.256794406770751e-5,324.5585409767124,1.6196752644226162e-7,8
dads,5.256794406770751e-5,324.5585409767124,1.6196752644226162e-7,8
installation,1.0513588813541503e-4,324.5585409767124,3.2393505288452323e-7,16
medallions,5.256794406770751e-5,324.5585409767124,1.6196752644226162e-7,8
nutshells,5.256794406770751e-5,324.5585409767124,1.6196752644226162e-7,8
philosophizing,5.256794406770751e-5,324.5585409767124,1.6196752644226162e-7,8
receivers,5.256794406770751e-5,324.5585409767124,1.6196752644226162e-7,8
succedaneum,5.256794406770751e-5,324.5585409767124,1.6196752644226162e-7,8
parsley,1.5770383220312253e-4,311.57619933764386,5.061485201320675e-7,25
pickles,2.628397203385376e-4,309.10337235877375,8.503295138218734e-7,42
paunch,1.0513588813541503e-4,305.4668620957293,3.441809936898059e-7,17
stoves,1.0513588813541503e-4,305.4668620957293,3.441809936898059e-7,17
alcove,2.628397203385376e-4,295.0532190697386,8.908213954324388e-7,44
accountants,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
chastisements,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
cloves,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
drinkables,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
earwigs,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
flunkies,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
interchanges,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
rimy,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
spinnet,5.256794406770751e-5,288.49648086818877,1.822134672475443e-7,9
cellarage,5.256794406770751e-5,259.64683278136994,2.02459408052827e-7,10
falsities,5.256794406770751e-5,259.64683278136994,2.02459408052827e-7,10
gimlets,5.256794406770751e-5,259.64683278136994,2.02459408052827e-7,10
housebreaking,5.256794406770751e-5,259.64683278136994,2.02459408052827e-7,10
wainscoat,5.256794406770751e-5,259.64683278136994,2.02459408052827e-7,10
thyme,2.1027177627083005e-4,253.3139832013365,8.300835730165908e-7,41
brooms,1.5770383220312253e-4,251.2711284980999,6.276241649637637e-7,31
shepherdess,1.5770383220312253e-4,243.41890573253426,6.478701057690465e-7,32
serpents,4.205435525416601e-4,241.5319374710418,1.7411509092543122e-6,86
harmonies,2.628397203385376e-4,240.41373405682398,1.093280803485266e-6,54
cellaret,5.256794406770751e-5,236.04257525579084,2.227053488581097e-7,11
l'air,1.0513588813541503e-4,236.04257525579084,4.454106977162194e-7,22
laundresses,5.256794406770751e-5,236.04257525579084,2.227053488581097e-7,11
postmen,5.256794406770751e-5,236.04257525579084,2.227053488581097e-7,11
profaneness,5.256794406770751e-5,236.04257525579084,2.227053488581097e-7,11
Rats,5.256794406770751e-5,236.04257525579084,2.227053488581097e-7,11
schnapps,5.256794406770751e-5,236.04257525579084,2.227053488581097e-7,11
Vassals,5.256794406770751e-5,236.04257525579084,2.227053488581097e-7,11
wrappers,1.5770383220312253e-4,236.04257525579084,6.681160465743291e-7,33
ewer,1.5770383220312253e-4,229.10014657179698,6.883619873796118e-7,34
medicinal,1.5770383220312253e-4,229.10014657179698,6.883619873796118e-7,34
layers,1.5770383220312253e-4,222.55442809831706,7.086079281848945e-7,35
slide,5.256794406770752e-4,221.9203698986068,2.368775074218076e-6,117
areas,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
cashiers,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
condiments,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
cordials,2.1027177627083005e-4,216.3723606511416,9.718051586535696e-7,48
crayons,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
disturber,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
forwarder,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
inuendo,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
monitory,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
philology,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
proprietress,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
pup,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
sows,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
stoppers,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
sundries,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
teapots,5.256794406770751e-5,216.3723606511416,2.429512896633924e-7,12
teacups,1.0513588813541503e-4,207.71746622509593,5.061485201320675e-7,25
ravishing,2.628397203385376e-4,199.72833290874613,1.3159861523433754e-6,65
disqualification,5.256794406770751e-5,199.7283329087461,2.631972304686751e-7,13
kerseymere,5.256794406770751e-5,199.7283329087461,2.631972304686751e-7,13
sandwich,2.1027177627083005e-4,199.7283329087461,1.0527889218747005e-6,52
tome,5.256794406770751e-5,199.7283329087461,2.631972304686751e-7,13
tureen,1.0513588813541503e-4,199.7283329087461,5.263944609373502e-7,26
pail,4.7311149660936763e-4,198.03571991799402,2.3890210150233586e-6,118
Ambroise,1.5770383220312253e-4,194.73512458602744,8.09837632211308e-7,40
pickle,3.1540766440624505e-4,194.73512458602744,1.619675264422616e-6,80
auditory,1.0513588813541503e-4,185.46202341526424,5.668863425479156e-7,28
chattel,5.256794406770751e-5,185.46202341526424,2.834431712739578e-7,14
Cratchits,5.256794406770751e-5,185.46202341526424,2.834431712739578e-7,14
crumpets,5.256794406770751e-5,185.46202341526424,2.834431712739578e-7,14
exultations,5.256794406770751e-5,185.46202341526424,2.834431712739578e-7,14
grumblings,5.256794406770751e-5,185.46202341526424,2.834431712739578e-7,14
rhubarb,5.256794406770751e-5,185.46202341526424,2.834431712739578e-7,14
roller,1.0513588813541503e-4,185.46202341526424,5.668863425479156e-7,28
vizir,5.256794406770751e-5,185.46202341526424,2.834431712739578e-7,14
shelves,0.0011564947694895653,179.066781228531,6.458455116885181e-6,319
spinners,1.0513588813541503e-4,179.066781228531,5.871322833531983e-7,29
jars,3.1540766440624505e-4,179.06678122853097,1.761396850059595e-6,87
saucers,2.1027177627083005e-4,176.0317510382169,1.1945105075116793e-6,59
ginger,2.628397203385376e-4,175.4370491766013,1.49819961959092e-6,74
wainscot,2.628397203385376e-4,173.0978885209133,1.5184455603962024e-6,75
boss,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
bushels,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
combustibles,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
eulogist,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
mimickry,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
pails,1.5770383220312253e-4,173.09788852091327,9.110673362377215e-7,45
pansies,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
primer,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
pyramidal,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
rien,1.0513588813541503e-4,173.09788852091327,6.07378224158481e-7,30
se'nnight,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
vertu,5.256794406770751e-5,173.09788852091327,3.036891120792405e-7,15
jam,3.679756084739526e-4,171.46488957260277,2.1460697253599664e-6,106
ironmaster,1.0513588813541503e-4,167.51408566539993,6.276241649637637e-7,31
raspberry,1.0513588813541503e-4,167.51408566539993,6.276241649637637e-7,31
bolster,1.5770383220312253e-4,165.73202092427866,9.515592178482869e-7,47
chisels,5.256794406770751e-5,162.2792704883562,3.2393505288452323e-7,16
leveller,5.256794406770751e-5,162.2792704883562,3.2393505288452323e-7,16
memorandums,5.256794406770751e-5,162.2792704883562,3.2393505288452323e-7,16
scrupulosity,5.256794406770751e-5,162.2792704883562,3.2393505288452323e-7,16
teems,5.256794406770751e-5,162.2792704883562,3.2393505288452323e-7,16
oranges,3.1540766440624505e-4,158.96744864165504,1.9841021989177046e-6,98
biscuits,3.1540766440624505e-4,154.24564323645737,2.044840021333553e-6,101
towel,3.679756084739526e-4,154.02778215843978,2.3890210150233586e-6,118
arbours,5.256794406770751e-5,152.73343104786466,3.441809936898059e-7,17
basement,1.5770383220312253e-4,152.73343104786466,1.0325429810694178e-6,51
boddice,5.256794406770751e-5,152.73343104786466,3.441809936898059e-7,17
dentist,1.0513588813541503e-4,152.73343104786466,6.883619873796118e-7,34
kegs,1.0513588813541503e-4,152.73343104786466,6.883619873796118e-7,34
moveables,1.0513588813541503e-4,152.73343104786466,6.883619873796118e-7,34
perfectibility,5.256794406770751e-5,152.73343104786466,3.441809936898059e-7,17
scrutoire,5.256794406770751e-5,152.73343104786466,3.441809936898059e-7,17
smoker,5.256794406770751e-5,152.73343104786466,3.441809936898059e-7,17
suites,5.256794406770751e-5,152.73343104786466,3.441809936898059e-7,17
witticism,5.256794406770751e-5,152.73343104786466,3.441809936898059e-7,17
lemons,1.0513588813541503e-4,148.3696187322114,7.086079281848945e-7,35
lumber,3.679756084739526e-4,147.76649020077963,2.4902507190497723e-6,123
hinges,4.7311149660936763e-4,146.96990534794526,3.2191045880399494e-6,159
appellations,5.256794406770751e-5,144.24824043409438,3.644269344950886e-7,18
caravan,3.1540766440624505e-4,144.24824043409438,2.186561606970532e-6,108
defiances,5.256794406770751e-5,144.24824043409438,3.644269344950886e-7,18
flunkey,5.256794406770751e-5,144.24824043409438,3.644269344950886e-7,18
Globe,5.256794406770751e-5,144.24824043409438,3.644269344950886e-7,18
