cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
milch,7.65579543714592e-5,290.87674758253536,2.631972304686751e-7,13
playbill,7.65579543714592e-5,290.87674758253536,2.631972304686751e-7,13
superlatives,7.65579543714592e-5,290.87674758253536,2.631972304686751e-7,13
smear,3.062318174858368e-4,280.10353470910815,1.093280803485266e-6,54
Camel,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
drips,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
ironmongery,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
ladles,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
Lammeters,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
mechanician,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
minims,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
shimmer,7.65579543714592e-5,270.0998370409257,2.834431712739578e-7,14
skewers,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
snuffers,1.531159087429184e-4,270.0998370409257,5.668863425479156e-7,28
worketh,3.82789771857296e-5,270.0998370409257,1.417215856369789e-7,7
upholsterer,2.2967386311437759e-4,263.81844548183443,8.705754546271561e-7,43
dimity,1.1483693155718879e-4,257.8225717208836,4.454106977162194e-7,22
patchwork,1.91394885928648e-4,255.4998458495243,7.4909980979546e-7,37
dormitories,1.531159087429184e-4,252.09318123819733,6.07378224158481e-7,30
earrings,4.2106874904302555e-4,244.6786759076621,1.7209049684490295e-6,85
adornments,1.531159087429184e-4,236.33735741080997,6.478701057690465e-7,32
embargo,7.65579543714592e-5,236.33735741080997,3.2393505288452323e-7,16
frère,3.82789771857296e-5,236.33735741080997,1.6196752644226162e-7,8
hotbed,3.82789771857296e-5,236.33735741080997,1.6196752644226162e-7,8
kness,3.82789771857296e-5,236.33735741080997,1.6196752644226162e-7,8
palais,3.82789771857296e-5,236.33735741080997,1.6196752644226162e-7,8
shuttlecocks,3.82789771857296e-5,236.33735741080997,1.6196752644226162e-7,8
valuer,7.65579543714592e-5,236.33735741080997,3.2393505288452323e-7,16
chintz,2.679528403001072e-4,228.18779336216136,1.1742645667063966e-6,58
bandboxes,7.65579543714592e-5,222.43515991605648,3.441809936898059e-7,17
knockers,7.65579543714592e-5,222.43515991605648,3.441809936898059e-7,17
lockers,7.65579543714592e-5,222.43515991605648,3.441809936898059e-7,17
pedlars,7.65579543714592e-5,222.43515991605648,3.441809936898059e-7,17
closets,2.679528403001072e-4,216.9654428689403,1.2350023891222448e-6,61
backyard,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
castors,7.65579543714592e-5,210.0776510318311,3.644269344950886e-7,18
firesides,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
flunkies,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
Forces,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
jambs,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
jorum,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
Latour,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
neer,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
underclothing,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
washin,3.82789771857296e-5,210.0776510318311,1.822134672475443e-7,9
custards,7.65579543714592e-5,199.0209325564716,3.846728753003713e-7,19
nightgown,3.82789771857296e-4,190.97968275621008,2.0043481397229874e-6,99
CHURCH,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
cowslip,7.65579543714592e-5,189.069885928648,4.04918816105654e-7,20
efts,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
intrusions,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
lavatory,7.65579543714592e-5,189.069885928648,4.04918816105654e-7,20
lotion,7.65579543714592e-5,189.069885928648,4.04918816105654e-7,20
orderlies,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
plasterer,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
rickyard,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
scantier,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
shoemaking,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
Slap,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
veneer,3.82789771857296e-5,189.069885928648,2.02459408052827e-7,10
vouchers,7.65579543714592e-5,189.069885928648,4.04918816105654e-7,20
zinc,7.65579543714592e-5,189.069885928648,4.04918816105654e-7,20
cistern,1.1483693155718879e-4,182.9708573503045,6.276241649637637e-7,31
joost,7.65579543714592e-5,180.06655802728383,4.251647569109367e-7,21
lozenges,7.65579543714592e-5,180.06655802728383,4.251647569109367e-7,21
verandah,3.062318174858368e-4,180.06655802728383,1.7006590276437467e-6,84
draperies,2.2967386311437759e-4,180.06655802728378,1.2754942707328102e-6,63
daytime,2.679528403001072e-4,178.849892094667,1.49819961959092e-6,74
banister,7.65579543714592e-5,171.8817144805891,4.454106977162194e-7,22
bedfellow,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
desuetude,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
extinguishers,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
hedgehogs,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
leanness,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
rescuer,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
ringer,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
sock,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
sunflowers,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
superabundance,7.65579543714592e-5,171.8817144805891,4.454106977162194e-7,22
tadpoles,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
Tisher,3.82789771857296e-5,171.8817144805891,2.227053488581097e-7,11
counterpane,2.679528403001072e-4,171.88171448058907,1.5589374420067679e-6,77
banisters,1.531159087429184e-4,164.4085964596939,9.313132770430043e-7,46
bookshelves,7.65579543714592e-5,164.4085964596939,4.6565663852150213e-7,23
bridegrooms,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
cress,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
dryer,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
housetop,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
jubilation,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
muteness,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
nonentity,7.65579543714592e-5,157.55823827387334,4.859025793267848e-7,24
perambulations,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
percussion,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
primness,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
tributes,3.82789771857296e-5,157.55823827387334,2.429512896633924e-7,12
supplement,1.1483693155718879e-4,157.55823827387331,7.288538689901772e-7,36
parlor,4.5934772622875517e-4,156.4716297340535,2.9356614167659917e-6,145
benchers,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
bomb,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
bombazeen,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
cheapening,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
Description,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
draughty,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
flagstaff,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
gingham,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
halfpast,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
labors,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
Legislature,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
maize,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
originator,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
pokers,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
pomatum,7.65579543714592e-5,145.43837379126768,5.263944609373502e-7,26
scullion,7.65579543714592e-5,145.43837379126768,5.263944609373502e-7,26
setters,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
shouthers,3.82789771857296e-5,145.43837379126768,2.631972304686751e-7,13
doorpost,7.65579543714592e-5,140.05176735455407,5.46640401742633e-7,27
arabesque,3.82789771857296e-5,135.04991852046285,2.834431712739578e-7,14
calico,1.91394885928648e-4,135.04991852046285,1.417215856369789e-6,70
chattel,3.82789771857296e-5,135.04991852046285,2.834431712739578e-7,14
clematis,7.65579543714592e-5,135.04991852046285,5.668863425479156e-7,28
dilettante,3.82789771857296e-5,135.04991852046285,2.834431712739578e-7,14
mange,3.82789771857296e-5,135.04991852046285,2.834431712739578e-7,14
sputtering,7.65579543714592e-5,130.39302477837794,5.871322833531983e-7,29
crabs,1.1483693155718879e-4,128.9112858604418,8.908213954324388e-7,44
