cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
housetops,6.50702758979698e-5,153.04720073870257,4.251647569109367e-7,21
Carmagnole,1.5310653152463485e-5,151.2466454358943,1.012297040264135e-7,5
greatcoats,1.5310653152463485e-5,151.2466454358943,1.012297040264135e-7,5
popolani,1.5310653152463485e-5,151.2466454358943,1.012297040264135e-7,5
porringer,1.5310653152463485e-5,151.2466454358943,1.012297040264135e-7,5
poulterers,1.5310653152463485e-5,151.2466454358943,1.012297040264135e-7,5
textures,1.5310653152463485e-5,151.2466454358943,1.012297040264135e-7,5
believeth,5.3587286033622196e-5,147.04534972934167,3.644269344950886e-7,18
Spitalfields,2.6793643016811098e-5,147.04534972934167,1.822134672475443e-7,9
lamplighter,4.975962274550632e-5,144.57399931372248,3.441809936898059e-7,17
gutters,1.301405517959396e-4,142.84405402278907,9.110673362377215e-7,45
blinks,2.2965979728695227e-5,141.7937300961509,1.6196752644226162e-7,8
compilation,5.7414949321738064e-5,141.7937300961509,4.04918816105654e-7,20
postmen,3.062130630492697e-5,137.49695039626755,2.227053488581097e-7,11
pavements,1.3396821508405548e-4,129.74589682000735,1.0325429810694178e-6,51
tumbrils,5.7414949321738064e-5,128.90339099650083,4.454106977162194e-7,22
boutique,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
crumpet,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
desolations,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
dunghills,2.2965979728695227e-5,126.03887119657858,1.822134672475443e-7,9
financiers,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
gondoliers,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
habitude,3.062130630492697e-5,126.03887119657858,2.429512896633924e-7,12
postchaises,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
Precincts,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
Proctors,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
spouses,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
strada,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
strop,1.5310653152463485e-5,126.03887119657858,1.214756448316962e-7,6
shops,0.0012860948648069327,121.46002119134914,1.0588627041162853e-5,523
warehouses,1.6841718467709832e-4,120.5589202749882,1.3969699155645063e-6,69
beershop,1.9138316440579356e-5,118.16144174679242,1.6196752644226162e-7,8
fasherie,1.9138316440579356e-5,118.16144174679242,1.6196752644226162e-7,8
farces,3.062130630492697e-5,116.34357341222638,2.631972304686751e-7,13
Druse,7.655326576231742e-5,114.58079199688963,6.681160465743291e-7,33
tenements,8.803625562666504e-5,114.43002779689373,7.693457506007426e-7,38
beanstalk,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
by'e,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
Djinblats,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
Elsé,2.2965979728695227e-5,113.43498407692073,2.02459408052827e-7,10
gaits,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
inconveniency,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
Knots,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
Patriots,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
pavé,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
quencher,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
raggedest,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
retailers,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
riche,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
sprinklings,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
unrealities,1.1482989864347614e-5,113.43498407692073,1.012297040264135e-7,5
poney,9.569158220289678e-5,112.53470642551659,8.503295138218734e-7,42
jails,3.827663288115871e-5,111.21076870286346,3.441809936898059e-7,17
vacancies,3.827663288115871e-5,111.21076870286346,3.441809936898059e-7,17
packmen,2.6793643016811098e-5,110.28401229700627,2.429512896633924e-7,12
Basse,1.5310653152463485e-5,108.03331816849594,1.417215856369789e-7,7
boulevards,1.5310653152463485e-5,108.03331816849594,1.417215856369789e-7,7
Gesù,1.5310653152463485e-5,108.03331816849594,1.417215856369789e-7,7
ironmongery,1.5310653152463485e-5,108.03331816849594,1.417215856369789e-7,7
jauntiness,1.5310653152463485e-5,108.03331816849594,1.417215856369789e-7,7
Mohocks,1.5310653152463485e-5,108.03331816849594,1.417215856369789e-7,7
