cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
lals,1.691024464896446e-5,167.04824746452022,1.012297040264135e-7,5
smiter,1.691024464896446e-5,167.04824746452022,1.012297040264135e-7,5
textures,1.691024464896446e-5,167.04824746452022,1.012297040264135e-7,5
weathercocks,3.382048929792892e-5,167.04824746452022,2.02459408052827e-7,10
opener,1.691024464896446e-4,167.0482474645202,1.012297040264135e-6,50
tombstones,1.437370795161979e-4,165.1058259823746,8.705754546271561e-7,43
heathenism,2.9592928135687803e-5,162.4080183682835,1.822134672475443e-7,9
colic,3.804805046017003e-5,156.60773199798768,2.429512896633924e-7,12
salut,2.536536697344669e-5,156.60773199798766,1.6196752644226162e-7,8
vergers,2.536536697344669e-5,156.60773199798766,1.6196752644226162e-7,8
surplices,7.186853975809894e-5,154.3380547226545,4.6565663852150213e-7,23
bis,3.382048929792892e-5,151.86204314956382,2.227053488581097e-7,11
dissenters,1.0146146789378675e-4,151.86204314956382,6.681160465743291e-7,33
irreligion,3.382048929792892e-5,151.86204314956382,2.227053488581097e-7,11
wright,3.382048929792892e-5,151.86204314956382,2.227053488581097e-7,11
churchwarden,1.8601269113860904e-4,150.61727230407558,1.2350023891222448e-6,61
boulevards,2.1137805811205574e-5,149.15022095046447,1.417215856369789e-7,7
Candle,2.1137805811205574e-5,149.15022095046447,1.417215856369789e-7,7
cherubims,2.1137805811205574e-5,149.15022095046447,1.417215856369789e-7,7
Complaints,2.1137805811205574e-5,149.15022095046447,1.417215856369789e-7,7
drays,2.1137805811205574e-5,149.15022095046447,1.417215856369789e-7,7
outskirt,2.1137805811205574e-5,149.15022095046447,1.417215856369789e-7,7
organist,1.141441513805101e-4,148.36521978756727,7.693457506007426e-7,38
pew,9.089256498818396e-4,143.89171957080063,6.3167335312482025e-6,312
sacristy,4.650317278465226e-5,143.55708766482203,3.2393505288452323e-7,16
surplice,2.325158639232613e-4,141.78477794056496,1.6399212052278988e-6,81
bucketful,1.691024464896446e-5,139.2068728871002,1.214756448316962e-7,6
confessionals,1.691024464896446e-5,139.2068728871002,1.214756448316962e-7,6
furriners,1.691024464896446e-5,139.2068728871002,1.214756448316962e-7,6
isthmus,1.691024464896446e-5,139.2068728871002,1.214756448316962e-7,6
Licence,2.536536697344669e-5,139.20687288710016,1.822134672475443e-7,9
trucks,4.227561162241115e-5,139.20687288710016,3.036891120792405e-7,15
