cur.correlates,cur.frequencies,obs.exp,corpus.frequencies,corpus.counts
coeval,2.1948596387261035e-5,98.55441954941527,2.227053488581097e-7,11
miniatures,8.779438554904414e-5,98.55441954941527,8.908213954324388e-7,44
Terms,2.1948596387261035e-5,98.55441954941527,2.227053488581097e-7,11
tableaux,2.9264795183014714e-5,96.36432133720604,3.036891120792405e-7,15
cone,4.389719277452207e-5,90.34155125363067,4.859025793267848e-7,24
nargilly,5.121339157027575e-5,90.34155125363067,5.668863425479156e-7,28
ormolu,2.1948596387261035e-5,90.34155125363067,2.429512896633924e-7,12
reverberation,5.121339157027575e-5,90.34155125363067,5.668863425479156e-7,28
sittingroom,2.1948596387261035e-5,90.34155125363067,2.429512896633924e-7,12
tangent,3.658099397876839e-5,90.34155125363067,4.04918816105654e-7,20
thews,2.1948596387261035e-5,90.34155125363067,2.429512896633924e-7,12
tripod,4.389719277452207e-5,90.34155125363067,4.859025793267848e-7,24
beadles,2.9264795183014714e-5,90.34155125363066,3.2393505288452323e-7,16
Breathless,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
callans,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
censer,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
congestion,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
fether,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
gratulations,2.9264795183014714e-5,90.34155125363066,3.2393505288452323e-7,16
groundsel,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
littlenesses,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
medallions,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
miasma,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
naps,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
philosophizing,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
porphyry,2.9264795183014714e-5,90.34155125363066,3.2393505288452323e-7,16
rots,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
semicircles,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
ventilator,1.4632397591507357e-5,90.34155125363066,1.6196752644226162e-7,8
wardens,2.9264795183014714e-5,90.34155125363066,3.2393505288452323e-7,16
panels,2.4143456025987138e-4,88.3339612257722,2.7332020087131645e-6,135
carrot,4.389719277452207e-5,86.72788920348543,5.061485201320675e-7,25
commonality,2.9264795183014714e-5,85.02734235635828,3.441809936898059e-7,17
cornices,2.9264795183014714e-5,85.02734235635828,3.441809936898059e-7,17
ceremonials,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
confectionary,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
dormer,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
mockeries,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
Orientals,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
pediment,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
pelisses,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
pilasters,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
Sèvres,2.1948596387261035e-5,83.39220115719753,2.631972304686751e-7,13
argumentum,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
commissionaire,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
disproof,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
earwigs,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
Flowney,2.9264795183014714e-5,80.30360111433836,3.644269344950886e-7,18
invisibility,1.4632397591507357e-5,80.30360111433836,1.822134672475443e-7,9
